school,district_number,lat,lng
EPC 3 de Fevereiro,01,-25.157889943,32.796798928
EPC 7 de Abril,01,-25.3879405694,32.8034831545
EPC Aguiar,01,-25.0596442902,32.7610322771
EPC Bobi,02,-25.0727927918,32.7278547432
EPC Chicuachane,01,-25.1665077123,32.8135142757
EPC Duco,02,-24.9252875459,32.5416627188
EPC Eduardo Mondlane,01,-25.440200516,32.7771358693
EPC Graca Machel,02,-25.0268290882,32.6457900472
EPC Ilha Josinha Machel,01,-25.0965166999,32.9282333538
EPC Maciana,01,-25.433735062,32.7794262964
EPC Magude,02,NA,NA
EPC Maguiguana,02,-25.0381675415,32.6698304014
EPC Maragra,01,-25.4528053754,32.7780356379
EPC Mawandla,02,-25.0331629886,32.6338478494
EPC Mepambe,01,-25.0537569831,32.7883797882
EPC Moine,02,-24.8901998727,32.5305054949
EPC Motaze,02,-24.7997043303,32.8563934433
EPC Mulembja,01,-25.4038670279,32.7953704456
EPC Nhiwane,02,-24.8637593359,32.3056005333
EPC Nwambyana,02,-24.816603899,32.8967808404
EPC Palmeira,01,-25.2610057566,32.8696853094
EPC Panjane,02,-24.8984569049,32.3500191653
EPC Simbe,02,-24.8185362371,32.5159635997
EPC Xinavane,01,-25.0441123614,32.7900299315
EPC xUngucha,00,NA,NA
